id,prompt,category,image_path,VQAScore,CLIPScore,model_vqa,model_clip,template
604,"The moon casts a soft glow on the garden, a rake leans against the fence, and a watering can sits by the flowerbed.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/604.png,0.5539879275113097,0.26551640033721924,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""The moon casts a soft glow on the garden, a rake leans against the fence, and a watering can sits by the flowerbed.""? Please answer yes or no."
147,One content rabbit and six tired turtles.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/147.png,0.3319854637679127,0.29089221358299255,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""One content rabbit and six tired turtles.""? Please answer yes or no."
824,Two computers equipped with unique circular displays.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/824.png,0.598781508347227,0.31141147017478943,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""Two computers equipped with unique circular displays.""? Please answer yes or no."
14,A book with glowing runes floating beside a mystic crystal.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/14.png,0.5126925850490733,0.28460854291915894,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A book with glowing runes floating beside a mystic crystal.""? Please answer yes or no."
1332,"A person with a bright scarf, and no hat in the cold.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1332.png,0.17724051706725022,0.3342638313770294,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A person with a bright scarf, and no hat in the cold.""? Please answer yes or no."
130,A guitar rests against a chair and a drum set stands nearby.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/130.png,0.4130035702536834,0.2822595238685608,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A guitar rests against a chair and a drum set stands nearby.""? Please answer yes or no."
797,A view of an office tower reflecting the sky.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/797.png,0.6813028462770989,0.2900383174419403,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A view of an office tower reflecting the sky.""? Please answer yes or no."
1150,A bicycle bell engraved with 'Ring for Joy.',compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1150.png,0.4450471002515287,0.2873930037021637,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A bicycle bell engraved with 'Ring for Joy.'""? Please answer yes or no."
299,The chairs in the bedroom are all white.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/299.png,0.3738758227716967,0.26341766119003296,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""The chairs in the bedroom are all white.""? Please answer yes or no."
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png,0.6306849203709737,0.3141338527202606,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A notebook lies open in the grass, with sketches on the left page and blank space on the right.""? Please answer yes or no."
701,A bright blue yoga ball in the center of a sunlit home studio.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/701.png,0.6636689470737326,0.34974405169487,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A bright blue yoga ball in the center of a sunlit home studio.""? Please answer yes or no."
1066, A panda in red socks comforts a disappointed student.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1066.png,0.35264752715443837,0.3566291630268097,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show "" A panda in red socks comforts a disappointed student.""? Please answer yes or no."
205,"There are some apples on the table, no oranges.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/205.png,0.6428810108924662,0.28755971789360046,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""There are some apples on the table, no oranges.""? Please answer yes or no."
442,"A glass with no water, only ice melting.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/442.png,0.2579519588464173,0.2712649703025818,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A glass with no water, only ice melting.""? Please answer yes or no."
760,A dog picking up a stick in a field.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/760.png,0.28101082202015076,0.3025709092617035,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A dog picking up a stick in a field.""? Please answer yes or no."
297,"In the bedroom, there are three chairs with a book on each of them.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/297.png,0.5331544046668082,0.2926594018936157,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""In the bedroom, there are three chairs with a book on each of them.""? Please answer yes or no."
225,"A garden gate with 'Welcome Friends' painted on a hanging wooden plaque, surrounded by blooming flowers.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/225.png,0.6526842973205801,0.3768375813961029,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A garden gate with 'Welcome Friends' painted on a hanging wooden plaque, surrounded by blooming flowers.""? Please answer yes or no."
572,A pilot in a leather jacket navigates a biplane through a stormy sky.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/572.png,0.6288633710372709,0.35516712069511414,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A pilot in a leather jacket navigates a biplane through a stormy sky.""? Please answer yes or no."
1200,On the left is a wooden spoon and on the right is a metal fork.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1200.png,0.4678179887239767,0.3218054175376892,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""On the left is a wooden spoon and on the right is a metal fork.""? Please answer yes or no."
632,A hat hanging on a hook to the left of a door.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/632.png,0.6867903384638052,0.32902052998542786,instructblip-flan-t5-xl,ViT-B-32,"Does this figure show ""A hat hanging on a hook to the left of a door.""? Please answer yes or no."
