id,prompt,category,image_path
604,"The moon casts a soft glow on the garden, a rake leans against the fence, and a watering can sits by the flowerbed.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/604.png
147,One content rabbit and six tired turtles.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/147.png
824,Two computers equipped with unique circular displays.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/824.png
14,A book with glowing runes floating beside a mystic crystal.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/14.png
1332,"A person with a bright scarf, and no hat in the cold.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1332.png
130,A guitar rests against a chair and a drum set stands nearby.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/130.png
797,A view of an office tower reflecting the sky.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/797.png
1150,A bicycle bell engraved with 'Ring for Joy.',compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1150.png
299,The chairs in the bedroom are all white.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/299.png
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png
701,A bright blue yoga ball in the center of a sunlit home studio.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/701.png
1066, A panda in red socks comforts a disappointed student.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1066.png
205,"There are some apples on the table, no oranges.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/205.png
442,"A glass with no water, only ice melting.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/442.png
760,A dog picking up a stick in a field.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/760.png
297,"In the bedroom, there are three chairs with a book on each of them.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/297.png
225,"A garden gate with 'Welcome Friends' painted on a hanging wooden plaque, surrounded by blooming flowers.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/225.png
572,A pilot in a leather jacket navigates a biplane through a stormy sky.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/572.png
1200,On the left is a wooden spoon and on the right is a metal fork.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1200.png
